contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,symbol,expiry,timestamp
AAPL251114C00110000,2025-11-05 19:11:51+00:00,110.0,161.1,157.15,160.0,0.0,0.0,4.0,1,2.7382844042968753,True,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00120000,2025-11-07 19:14:29+00:00,120.0,147.94,147.05,149.95,-3.4599915,-2.2853312,1.0,4,2.1875045312499997,True,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00130000,2025-11-05 19:11:51+00:00,130.0,141.13,136.6,140.1,0.0,0.0,6.0,1,3.413575684814453,True,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00140000,2025-10-31 14:08:20+00:00,140.0,130.5,127.05,130.1,0.0,0.0,1.0,1,2.03906740234375,True,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00145000,2025-10-31 14:08:20+00:00,145.0,125.5,121.85,124.8,0.0,0.0,2.0,3,2.842776330566406,True,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00155000,2025-10-31 19:01:36+00:00,155.0,116.77,111.85,115.0,0.0,0.0,1.0,1,2.6494174389648437,True,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00160000,2025-10-31 13:31:51+00:00,160.0,115.65,106.85,110.1,0.0,0.0,1.0,1,1.2500037499999999,True,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00165000,2025-10-31 13:40:46+00:00,165.0,105.25,101.85,104.95,0.0,0.0,4.0,4,2.3745157824707026,True,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00170000,2025-10-28 15:23:23+00:00,170.0,98.91,96.85,99.85,0.0,0.0,6.0,6,2.2182661730957025,True,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00175000,2025-10-31 13:47:10+00:00,175.0,96.3,91.55,94.95,0.0,0.0,1.0,5,2.1308640478515626,True,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00180000,2025-11-07 19:53:17+00:00,180.0,87.73,87.05,90.0,13.220001,17.742586,22.0,1,1.2109414453124998,True,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00185000,2025-10-21 13:58:06+00:00,185.0,79.25,81.95,84.5,0.0,0.0,,1,1.7587902685546877,True,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00190000,2025-11-07 15:07:44+00:00,190.0,80.12,76.85,79.5,0.37000275,0.4639533,4.0,6,1.6533220458984377,True,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00195000,2025-11-07 19:26:06+00:00,195.0,72.72,72.05,74.5,-4.6100006,-5.9614644,3.0,6,1.5498069384765623,True,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00200000,2025-11-07 20:25:47+00:00,200.0,68.1,67.5,69.25,-2.7000046,-3.8135655,54.0,16,1.3676789428710938,True,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00205000,2025-11-07 18:57:31+00:00,205.0,62.45,62.05,64.9,-3.8500023,-5.806941,98.0,14,0.6718782812500002,True,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00210000,2025-11-07 20:48:23+00:00,210.0,58.18,56.6,59.4,-3.119999,-5.089721,45.0,90,1.2216835791015623,True,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00215000,2025-11-07 19:56:36+00:00,215.0,52.77,52.55,54.9,-4.59,-8.002092,118.0,195,0.8828136718749999,True,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00220000,2025-11-07 20:51:49+00:00,220.0,47.6,47.65,49.15,-2.1400032,-4.3023787,25.0,844,0.963867548828125,True,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00225000,2025-11-07 20:51:17+00:00,225.0,42.97,42.1,43.95,-3.4300003,-7.392242,12.0,174,0.8149432568359375,True,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00230000,2025-11-07 20:51:38+00:00,230.0,38.07,37.5,39.25,-3.8100014,-9.0974245,134.0,205,0.8110370458984374,True,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00235000,2025-11-07 20:42:20+00:00,235.0,33.07,32.45,34.3,-3.3400002,-9.173305,57.0,151,0.7324245507812499,True,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00237500,2025-11-07 20:08:52+00:00,237.5,30.09,29.6,32.2,-3.7000008,-10.949987,16.0,63,0.7612328564453126,True,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00240000,2025-11-07 20:52:00+00:00,240.0,28.65,28.05,29.4,-1.4700012,-4.8804817,1807.0,267,0.6606479248046876,True,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00242500,2025-11-07 20:55:20+00:00,242.5,25.39,25.15,26.75,-3.8199997,-13.077712,80.0,119,0.5864299169921875,True,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00245000,2025-11-07 20:38:05+00:00,245.0,23.5,23.05,24.65,-2.8500004,-10.815941,253.0,611,0.6074258007812501,True,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00247500,2025-11-07 20:37:25+00:00,247.5,20.8,20.3,21.35,-4.120001,-16.532907,50.0,47,0.4155331884765625,True,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00250000,2025-11-07 20:56:32+00:00,250.0,18.6,18.5,18.95,-2.3099995,-11.047343,178.0,1688,0.39649041015625003,True,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00252500,2025-11-07 20:59:58+00:00,252.5,16.3,15.9,16.75,-1.7000008,-9.444448,132.0,125,0.40381455566406255,True,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00255000,2025-11-07 20:59:24+00:00,255.0,13.82,13.6,14.05,-1.6000004,-10.376138,306.0,1090,0.3266668896484375,True,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
