contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,symbol,expiry
NVDA251114C00050000,2025-10-29 19:47:47+00:00,50.0,157.15,136.8,139.45,0.0,0.0,1.0,2.0,6.074221157226562,True,REGULAR,USD,call,NVDA,2025-11-14
NVDA251114C00060000,2025-10-31 16:46:45+00:00,60.0,127.21,126.8,129.45,-16.04,-11.197208,1.0,8.0,5.283206520996093,True,REGULAR,USD,call,NVDA,2025-11-14
NVDA251114C00065000,2025-11-07 20:25:26+00:00,65.0,120.72,122.15,123.95,-22.440002,-15.674771,10.0,2.0,4.507816865234375,True,REGULAR,USD,call,NVDA,2025-11-14
NVDA251114C00070000,2025-11-07 20:25:26+00:00,70.0,115.75,117.05,118.95,-3.699997,-3.0975277,32.0,17.0,4.216801604003906,True,REGULAR,USD,call,NVDA,2025-11-14
NVDA251114C00075000,2025-11-07 19:12:30+00:00,75.0,108.86,112.35,114.45,-5.1399994,-4.5087714,8.0,88.0,3.281251796875,True,REGULAR,USD,call,NVDA,2025-11-14
NVDA251114C00080000,2025-11-07 17:20:49+00:00,80.0,101.8,106.9,109.1,-7.689995,-7.023468,8.0,17.0,3.81250046875,True,REGULAR,USD,call,NVDA,2025-11-14
NVDA251114C00085000,2025-11-07 17:49:01+00:00,85.0,96.85,101.8,104.5,-12.650002,-11.552513,10.0,3.0,0.500005,True,REGULAR,USD,call,NVDA,2025-11-14
NVDA251114C00090000,2025-11-07 18:11:56+00:00,90.0,93.37,97.35,99.5,-6.6299973,-6.6299973,38.0,384.0,2.7148469628906247,True,REGULAR,USD,call,NVDA,2025-11-14
NVDA251114C00095000,2025-11-07 15:37:41+00:00,95.0,87.1,91.8,94.45,-16.93,-16.274153,37.0,7.0,3.3281266796874993,True,REGULAR,USD,call,NVDA,2025-11-14
NVDA251114C00100000,2025-11-07 18:40:28+00:00,100.0,87.11,86.8,89.45,-3.7299957,-4.1061163,66.0,118.0,3.1113303466796873,True,REGULAR,USD,call,NVDA,2025-11-14
NVDA251114C00105000,2025-11-07 20:38:15+00:00,105.0,82.36,82.5,83.75,-12.470001,-13.149849,149.0,149.0,2.496097509765625,True,REGULAR,USD,call,NVDA,2025-11-14
NVDA251114C00110000,2025-11-07 19:25:23+00:00,110.0,75.45,77.8,79.15,-3.850006,-4.8549886,77.0,2159.0,2.091801645507812,True,REGULAR,USD,call,NVDA,2025-11-14
NVDA251114C00115000,2025-11-07 20:49:21+00:00,115.0,72.11,71.8,74.5,-1.9300003,-2.6066995,43.0,150.0,0.500005,True,REGULAR,USD,call,NVDA,2025-11-14
NVDA251114C00120000,2025-11-07 20:53:00+00:00,120.0,68.9,67.65,68.8,-0.5499954,-0.79193014,222.0,544.0,1.4570339648437498,True,REGULAR,USD,call,NVDA,2025-11-14
NVDA251114C00125000,2025-11-07 20:23:32+00:00,125.0,62.22,62.55,64.25,-12.510002,-16.740267,44.0,64.0,1.5800802246093748,True,REGULAR,USD,call,NVDA,2025-11-14
NVDA251114C00130000,2025-11-07 20:57:56+00:00,130.0,58.01,57.7,59.3,-1.9900017,-3.3166695,75.0,4260.0,1.5292992285156248,True,REGULAR,USD,call,NVDA,2025-11-14
NVDA251114C00135000,2025-11-07 20:17:29+00:00,135.0,52.0,51.75,54.5,-3.25,-5.882353,17.0,116.0,1.8398445507812498,True,REGULAR,USD,call,NVDA,2025-11-14
