contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,symbol,expiry,timestamp
QQQ251110C00530000,2025-10-30 18:04:18+00:00,530.0,101.38,78.65,82.11,0.0,0.0,,0,1.0542039477539062,True,REGULAR,USD,call,QQQ,2025-11-10,2025-11-09 05:50:12.998146
QQQ251110C00550000,2025-11-07 20:16:48+00:00,550.0,58.35,58.68,62.22,-6.970001,-10.6705475,358.0,8,0.8359391406249999,True,REGULAR,USD,call,QQQ,2025-11-10,2025-11-09 05:50:12.998146
QQQ251110C00570000,2025-11-07 16:29:07+00:00,570.0,31.22,38.72,42.2,-22.360003,-41.73199,14.0,50,0.596683720703125,True,REGULAR,USD,call,QQQ,2025-11-10,2025-11-09 05:50:12.998146
QQQ251110C00575000,2025-11-07 18:59:52+00:00,575.0,29.16,33.75,37.2,-19.84,-40.489796,46.0,28,0.5380905566406251,True,REGULAR,USD,call,QQQ,2025-11-10,2025-11-09 05:50:12.998146
QQQ251110C00580000,2025-11-07 21:02:00+00:00,580.0,30.5,28.77,32.21,-5.869999,-16.139673,79.0,10,0.6748079394531252,True,REGULAR,USD,call,QQQ,2025-11-10,2025-11-09 05:50:12.998146
QQQ251110C00585000,2025-11-07 20:57:38+00:00,585.0,24.61,23.82,26.28,-3.1599998,-11.379186,160.0,26,0.5083056982421875,True,REGULAR,USD,call,QQQ,2025-11-10,2025-11-09 05:50:12.998146
QQQ251110C00590000,2025-11-07 20:48:17+00:00,590.0,18.65,18.9,21.43,-4.24,-18.523373,621.0,28,0.44873598144531246,True,REGULAR,USD,call,QQQ,2025-11-10,2025-11-09 05:50:12.998146
QQQ251110C00595000,2025-11-07 21:01:00+00:00,595.0,14.98,14.98,16.59,-4.700001,-23.882118,2175.0,84,0.3842835009765625,True,REGULAR,USD,call,QQQ,2025-11-10,2025-11-09 05:50:12.998146
QQQ251110C00597000,2025-11-07 20:24:51+00:00,597.0,13.33,13.07,14.74,-3.5,-20.796198,1262.0,58,0.3631655480957031,True,REGULAR,USD,call,QQQ,2025-11-10,2025-11-09 05:50:12.998146
QQQ251110C00599000,2025-11-07 21:13:52+00:00,599.0,11.63,10.41,12.92,-4.7300005,-28.911982,4706.0,35,0.34204759521484374,True,REGULAR,USD,call,QQQ,2025-11-10,2025-11-09 05:50:12.998146
