contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,symbol,expiry,timestamp
SPY251110C00570000,2025-11-07 19:53:04+00:00,570.0,98.97,100.4,103.11,-11.669998,-10.547721,10.0,1.0,1.2197304638671875,True,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00590000,2025-11-07 19:53:24+00:00,590.0,78.94,80.42,83.12,-15.189995,-16.13725,24.0,0.0,1.0053760668945313,True,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00615000,2025-11-07 19:19:06+00:00,615.0,51.68,55.47,58.13,-13.769997,-21.038958,285.0,9.0,0.7387721435546875,True,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00625000,2025-11-07 19:47:25+00:00,625.0,44.2,45.46,48.14,-11.209999,-20.231005,5.0,2.0,0.6279334082031252,True,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00630000,2025-11-07 18:54:03+00:00,630.0,35.67,40.47,43.15,-12.670002,-26.210182,12.0,0.0,0.5737347314453125,True,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00640000,2025-11-07 18:02:54+00:00,640.0,24.28,30.48,33.16,-6.1499996,-20.210318,93.0,55.0,0.6042520043945314,True,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00645000,2025-11-07 20:57:42+00:00,645.0,25.75,25.49,28.17,-0.7900009,-2.9766424,114.0,20.0,0.5363815893554689,True,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00650000,2025-11-07 21:09:01+00:00,650.0,21.55,21.82,21.97,0.26999855,1.2687901,855.0,39.0,0.35950347534179683,True,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00655000,2025-11-07 21:14:29+00:00,655.0,16.78,16.88,17.02,0.3900013,2.3795078,600.0,36.0,0.3007882421875,True,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00656000,2025-11-07 21:07:16+00:00,656.0,15.77,15.9,16.04,-1.7299995,-9.885712,438.0,20.0,0.28955788574218744,True,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00657000,2025-11-07 20:02:02+00:00,657.0,13.32,14.93,15.06,-1.8400002,-12.137204,321.0,39.0,0.2779613220214844,True,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00658000,2025-11-07 21:02:02+00:00,658.0,13.92,13.96,14.1,-1.8800001,-11.898734,582.0,56.0,0.26782958740234375,True,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00659000,2025-11-07 21:09:42+00:00,659.0,12.98,13.0,13.14,-1.5800009,-10.851654,677.0,106.0,0.2573316455078125,True,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00660000,2025-11-07 21:05:12+00:00,660.0,12.09,12.05,12.18,0.5,4.314064,2934.0,42.0,0.24634542724609376,True,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00661000,2025-11-07 21:14:53+00:00,661.0,11.18,11.12,11.25,-0.4699993,-4.034329,6740.0,116.0,0.2371902453613281,True,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00662000,2025-11-07 21:08:28+00:00,662.0,10.04,10.2,10.32,-0.42000008,-4.015297,9234.0,57.0,0.2274247180175781,True,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00663000,2025-11-07 21:14:51+00:00,663.0,9.33,9.3,9.42,0.5699997,6.5068455,22318.0,110.0,0.21900195068359374,True,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00664000,2025-11-07 21:14:51+00:00,664.0,8.46,8.42,8.53,-0.6899996,-7.5409794,34890.0,175.0,0.21033504516601562,True,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00665000,2025-11-07 21:14:49+00:00,665.0,7.55,7.56,7.66,-0.47000027,-5.860352,51598.0,214.0,0.20191227783203125,True,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00666000,2025-11-07 21:13:34+00:00,666.0,6.65,6.73,6.82,-0.9299998,-12.269127,49666.0,351.0,0.19422192504882813,True,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00667000,2025-11-07 21:13:28+00:00,667.0,5.81,5.93,6.01,-0.74000025,-11.297713,53662.0,393.0,0.18677571044921876,True,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00668000,2025-11-07 21:14:37+00:00,668.0,5.18,5.17,5.23,-0.9000001,-14.802633,42798.0,484.0,0.17945156494140624,True,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00669000,2025-11-07 21:14:53+00:00,669.0,4.48,4.45,4.5,-0.77,-14.666666,38172.0,473.0,0.17310397216796874,True,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00670000,2025-11-07 21:14:53+00:00,670.0,3.8,3.78,3.82,-0.9100001,-19.320597,112600.0,2635.0,0.16724465576171876,True,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00671000,2025-11-07 21:14:55+00:00,671.0,3.19,3.15,3.19,-0.9200001,-22.38443,33321.0,1477.0,0.16175154663085936,False,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00672000,2025-11-07 21:14:57+00:00,672.0,2.6,2.58,2.61,-0.9000001,-25.714287,34768.0,1987.0,0.1562584375,False,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00673000,2025-11-07 21:14:59+00:00,673.0,2.1,2.07,2.1,-0.8800001,-29.530207,56538.0,4740.0,0.1514977429199219,False,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00674000,2025-11-07 21:14:59+00:00,674.0,1.64,1.62,1.64,-0.87,-34.661354,26656.0,3951.0,0.1463708410644531,False,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00675000,2025-11-07 21:14:55+00:00,675.0,1.26,1.25,1.26,-0.80999994,-39.130436,37914.0,5076.0,0.1424035955810547,False,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00676000,2025-11-07 21:14:54+00:00,676.0,0.95,0.94,0.95,-0.72999996,-43.452377,21886.0,4382.0,0.13916876464843753,False,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00677000,2025-11-07 21:14:56+00:00,677.0,0.7,0.68,0.7,-0.63000005,-47.368423,23860.0,3018.0,0.13636117553710939,False,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00678000,2025-11-07 21:14:59+00:00,678.0,0.5,0.5,0.51,-0.55999994,-52.830185,16546.0,3224.0,0.1344080700683594,False,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00679000,2025-11-07 21:14:59+00:00,679.0,0.34,0.34,0.36,-0.45000002,-56.962025,20130.0,2597.0,0.13233289550781252,False,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00680000,2025-11-07 21:14:57+00:00,680.0,0.26,0.24,0.25,-0.36,-58.06452,37037.0,10150.0,0.13086806640624998,False,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00681000,2025-11-07 21:14:44+00:00,681.0,0.17,0.17,0.18,-0.3,-63.829792,15662.0,2884.0,0.13111220458984374,False,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00682000,2025-11-07 21:14:46+00:00,682.0,0.11,0.11,0.12,-0.22000001,-66.66667,12001.0,7117.0,0.129891513671875,False,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00683000,2025-11-07 21:14:29+00:00,683.0,0.07,0.07,0.08,-0.18,-72.0,5745.0,2091.0,0.1294032373046875,False,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00684000,2025-11-07 21:14:14+00:00,684.0,0.06,0.05,0.06,-0.120000005,-66.66667,4102.0,2863.0,0.131844619140625,False,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00685000,2025-11-07 21:14:56+00:00,685.0,0.03,0.03,0.04,-0.089999996,-75.0,9694.0,9523.0,0.131844619140625,False,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00686000,2025-11-07 21:14:28+00:00,686.0,0.03,0.02,0.03,-0.049999997,-62.5,3715.0,4066.0,0.133797724609375,False,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00687000,2025-11-07 21:04:43+00:00,687.0,0.02,0.02,0.03,-0.05,-71.42857,1915.0,1391.0,0.141610146484375,False,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00688000,2025-11-07 21:14:18+00:00,688.0,0.02,0.01,0.02,-0.02,-50.0,2525.0,4258.0,0.141610146484375,False,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00689000,2025-11-07 21:14:20+00:00,689.0,0.02,0.01,0.02,-0.02,-50.0,593.0,1997.0,0.148446015625,False,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00690000,2025-11-07 21:13:39+00:00,690.0,0.02,0.01,0.02,0.0,0.0,1902.0,7716.0,0.1562584375,False,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00691000,2025-11-07 20:56:34+00:00,691.0,0.01,0.01,0.02,0.0,0.0,916.0,1161.0,0.16211775390625,False,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00692000,2025-11-07 20:42:57+00:00,692.0,0.02,0.01,0.02,0.0,0.0,440.0,2205.0,0.16993017578125003,False,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
SPY251110C00693000,2025-11-07 20:52:34+00:00,693.0,0.01,0.01,0.02,0.0,0.0,993.0,1146.0,0.17774259765625,False,REGULAR,USD,call,SPY,2025-11-10,2025-11-09 05:50:01.480162
