contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,symbol,expiry
TSLA251114C00150000,2025-11-05 20:24:59+00:00,150.0,312.45,277.9,282.05,0.0,0.0,2.0,14,3.6093759765625,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00160000,2025-11-04 19:32:52+00:00,160.0,288.7,267.25,271.4,0.0,0.0,20.0,19,4.233403145751954,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00180000,2025-11-07 15:23:14+00:00,180.0,254.25,247.9,251.5,-14.369995,-5.3495626,2.0,54,2.69531576171875,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00190000,2025-11-05 17:09:03+00:00,190.0,261.35,237.95,241.5,0.0,0.0,18.0,14,2.5742223144531247,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00200000,2025-11-07 19:59:27+00:00,200.0,236.08,228.1,231.45,-13.5,-5.409087,27.0,78,2.488285029296875,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00210000,2025-11-07 19:04:07+00:00,210.0,222.96,217.3,221.5,-5.0899963,-2.231965,1.0,26,3.1967793518066405,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00220000,2025-11-06 20:32:23+00:00,220.0,228.3,207.35,211.5,0.0,0.0,6.0,22,3.0126977807617186,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00230000,2025-11-07 16:46:42+00:00,230.0,195.0,198.55,201.45,-24.0,-10.958904,10.0,29,2.2460981347656244,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00240000,2025-11-07 19:54:08+00:00,240.0,196.22,187.4,191.55,-10.979996,-5.299226,17.0,8,2.681155640869141,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00250000,2025-11-07 20:43:20+00:00,250.0,181.76,178.0,181.55,-13.910004,-7.1089096,32.0,13,1.8125009374999999,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00255000,2025-11-07 19:24:18+00:00,255.0,177.75,172.4,176.55,-15.330002,-7.939715,1.0,7,2.4389687463378906,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00260000,2025-11-07 17:37:30+00:00,260.0,169.28,167.4,171.6,-34.92,-17.100882,6.0,25,2.372562662353515,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00265000,2025-11-07 18:11:44+00:00,265.0,163.7,162.45,166.6,-22.050003,-11.870795,18.0,26,1.125004375,True,REGULAR,USD,call,TSLA,2025-11-14
TSLA251114C00270000,2025-11-07 16:00:29+00:00,270.0,166.25,157.45,162.25,-14.470001,-8.006862,34.0,14,1.6328143359374998,True,REGULAR,USD,call,TSLA,2025-11-14
